text,retweet_count
 ilksevdamm_ sokağa çıkma yasağının iptalini iptal eden karar iptal edildi virüsün elinde oyuncak olduk sokağacikm,50
 ibo_e_ sokağacikmayasaği tesekkurlererdogan büyük real hizli karar tamda başkanlik sistemine uygun oldu teşekkürler,50
 ibo_e_ teşekkürlererdoğan sokağacikmayasaği büyük real türkiyenin virüs konusunda dünya çapindaki başariyi dünya,50
 yavuzicmeli sokağa çıkma yasağı yerine türkiyede maske takmak zorunlu hale gelse takmayana ceza uygunlunsasokağacikmayasaği,50
 ikbl fani dünyada ebediyet yolumuzu aydınlatan peygamber efendimiz sallallahu aleyhi vesellemin nuru üzerimizden eksik olmasın,50
 omerfarukbey devlete borcumuz yokken aynı suç iddiasi birden fazla ceza kesilmesi evrensel hukuka aykırıdır sn abdulhamitgul ma,50
 sairmatematikci sokağacikmayasaği nda keyfi olarak katkısı olan herkese teşekkür ederim hayirli cumalar,50
 bymralone sokağacikmayasaği iptal edildi,50
 cagriza devlete borcu olmayan vergi cezasını ödemiş insanları bir mali yıl ayrı ayrı zincirleme hapis cezasına mahkum etm,50
 cagriza inanılmaz ölçüsüz cezalar veren vuk kısa sürede değişmelidir sn beratalbayrak mehmedmus mehmetucum avozlemzengin,50
 canlikelebek_ vay hemşehrim vayyy ben lucy lucy canı sıkılınca dünyaçevregünü sokağacikmayasaği hayirlicumalar http,50
 cagriza vergi usul kanununa yeni bir düzenleme yapılmasını acilen bekleyen binlerce iş insanımız esnafımız sizden vergi barışı talep,50
 bircanbasak ankarayı bir ankaralı gözünden seyredelim kardeşimizin dediği neye üzülüyoruz biliyormusunuz sayın meli,50
 sevincx sokağa çıkmayın yok çıkar yapın çıkmasanız iyi olur çıksanız olur yok yok iyisi çıkmayın gönl,50
 berildeniz erdoğan millet bahçesi açıyormuş coşkuya bakarsan tane fabrika açıyorlar dünyaçevregünü sokağacikmay,50
 resulbasibuyuk herkes plan yaparken uçak otobüs bileti alırken hayat normale dönmüşken birden sokağa çakma yasağı uygulanması boşuna,50
 ramazanacikgoz_ cumhurbaşkanımız erdogan herzaman olduğu halkımızın sesine yine kulak verdi hafta sonu planlanan sokağaci,50
sosyal mesafe maske önemli tabiki kurallara riayet eden bir milletiz ancak konu derin mühim kadar müh httpstcowocxoqwhf,50
 abuldozer sokağacikmayasaği kalkınca dışarıya çıkmaya çalışiyorum httpstcojybemtgyfb,50
 patiiron ben akşam aldığım kararları sabah iptal ediyorum demek hükümet kadınım sokağacikmayasaği,50
 ozdenkrmn allah aşkına istiyorsunuz dün sokağacikmayasaği var dediniz bugün karar iptal olunca yas,50
 sunam protestoediyorum kurulan oyunları tuzakkarı bozan tek adam erdogan padişahım yaşa uzun yaşa sokağaci,50
 the_marlas hayata karşı bütün inancımı yitirdiman itibariyle sokağacikmayasaği,50
 filits görülen virüs yine harekete geçmiş gündem farklı konulara eğrilirken korına virüs arka planda boş durmayacak fazla a,47
 dilekkooo kendim şahsımı ikna ettim yasağı iptal ettim sokağacikmayasaği httpstcozaakhouuy,43
 candundaradasi sokaklar benim değil mi sabah kapatır akşam açarım sokağacikmayasaği,40
 zafergndzz cumhurbaşkanı erdoğanın sokağacikmayasaği nı iptal ettiğini açıkladığında ben temsili httpstcoxezrvaeh,39
 erkanakbayr sokağacikmayasaği dikkatle inceleniyor vardan dönerek iptal oluyor dk herkez şaşkın httpstcoqauholnn,39
 burakbeymh vatandaşın derdi delenen kaale alan hani almazalmazdiktatör haniüzüntüsü hüzünlenen bir cumhurbaşkanı,35
tcomtr son demokrat pai zamanında rahat rahat dışarı çıkabiliyordu millet iyi oldu sokağacikmayasaği,33
 aksoyfurkan devletin organları birbirinden habersiz mi kararlar tek kafadan çıkıyor çift başlı tutumlar son zamanda,30
 zerqddt sokağacikmayasaği henüz gün bitmedi fazla program yapmayın,29
 valibilmez kıymetli hemşehrilerim sayın cumhurbaşkanımız erdoganın kararıyla haftasonu uygulanacak olan sokağacikmayasaği kaldı,27
 ay_moon_ay yasak kararını alan sağlık bakanının haberi yok bilim kurulunun haberi yok halkın zaten haberi yok kararı alan cumh,27
 avdenizyucel koskoca cumhurbaşkanı darbe girişimini eniştesinden öğrenmişken bizim sokağa çıkma yasağının yasaklandığını twitterdan,26
 optimiissttt yasak değil mi bi karar verin sokağacikmayasaği,26
 aksoyfurkan karışık duygular içerisindeyiz sokağacikmayasaği teşekkürlererdoğan cumhurbaşkanı erdoğan hayırlıcumalar okuyun,26
 ince_genclik muharrem inceden hükümete sokağa çıkma yasağı eleştirisi akliniz yerinde mi cumhurbaşkanı erdoğan sokağacikmayas,24
 kuksalih sağlık bakanı sokağacikmayasaği yok dedi içişleri bakanlığı var dedi erdoğan iptal ettim dedi ülkedeğilpanayır,24
 wtfderin sokağa çıkma yasağı iptal edilmiş sokağacikmayasaği httpstcotqhutubai,24
elma dersem çık armut dersem çıkma sokağacikmayasaği,22
 canerkara eskiden hükümetler yıllık kalkınma planı açıklardı gavur devletlerin yıllık programlarını örnek göste,21
 hulyahulyaeser önce bi normalleşin dediler baktılar normal karşılandı bunu biraz anormalleştirelim kararı aldılar normalleşmeyi a,18
yeni video yayında şahan gökbakardan evdekal tiplemeleri sahangokbakar sokağacikmayasaği aleynacakır httpstcoosdpndkibk,17
 turna_m_ay altüst oldu psikolojimiz hastalıktan değil anlamsz kararsızlıklarınzdan sizin çocuk oyuncağndan farksz olan,16
dün ilan edilip gün iptal edilen sokağacikmayasaği y la ilgili düşünceniz nedir,16
neyseki koalisyonla yönetilmiyoruzda başlılık olmuyorsokağacikmayasaği,16
elma dersem çık armut dersem çıkma iptal sokağacikmayasaği,16
ben zaten düzcedeyim bize yasak gelmedi sokağacikmayasaği,16
 _gkcn__ yine virüsu şaşımacalı müthiş kararlar alınıyor sokağacikmayasaği,16
virüsü karşımıza alıp insan konuşmayı denesek böyle yapıyosun senin anana bacına bulaşsalar iyi mi httpstcomtllasky,16
üveys zikrini yapan on binlerce kardeşimizin zikre başladığında hayatında nekadar güzelliklerlütuflar yaşadığı httpstcoytpvfvivv,16
 ahmtcbkl devlet yönetme ciddiyetle yapılacak bir iştirbir kurumun aldığı karar önce istişare edilir aonra açıklanır yoksa devletcidd,16
erken yaşta evliliğe karşı çıkanların çocuklarıtorunları izmirde erken yaşta grup yapmış avrupada bile yaşl httpstcoryfzcgxmr,16
sokağacikmayasaği gir çık gir çık amına kodumu,16
hükümet aık taşşak geçiyor sokağacikmayasaği,16
aksam canim yasak istedi sabah istemedi iptal kararı aldim sokağacikmayasaği httpstcoqkijeqi,16
yeter anasını satayım var yok bir karar verin sokağacikmayasaği,16
karar alırken e gibiyim sokağaçikmayasaği httpstcomlyhyuxjq,16
 gokhanbozku sağlık bakanısokağa çıkma yasağı yok dedikten sonra sokağa çıkma yasağını adalet bakanıavukatlık yasası çalışması,16
 arzusaylam sokağa çık sokağa çıkma troller şaşırdı hangisini alkışlasın sokağacikmayasaği,16
sokağacikmayasaği bence gün kapa herkesi eve bitsin mikrop ciddiyim yunanistan öyle yaptı ölü ge httpstcoywcabema,16
 yakupsahin sokağacikmayasaği iptal edilmesi birlikte yüz koyun çoban konusu kesinleşti tesbitimin altına yetkililer yasağı,16
sokağacikmayasaği iptal kolonya cumhuriyetinin kararları bile tutarlıydı httpstcopbzlkvt,16
 yasminbjk ilde açıklanan sokağa çıkma yasağı vatandaşlardan gelen yoğun istek üzerine kaldırılmış gözlerim doldu vatandaş,15
bakın gösteri ilkokul müsameresinde olsa yine izlenmez size gerçekten gülüyoruz teşekkürlererdoğan sokağacikmayasaği,15
akşam yasak var tweet atarlar yormayın kendinizi akşama saklayın sokağacikmayasagi,15
bilim kurulu sokağa çıkma yasağını önerdiiçişleri bakanlığı sokağa çıkma yasağı ilan etticumhurbaşkanı çıkıp içi httpstcocubihrwmo,15
bir varmış bir yokmuş sokağacikmayasaği,15
erzak aldık aq sokağacikmayasaği httpstcoaaxfbcsze,15
birileri bizimle pi tsk geçiyor sokağacikmayasaği iptal,15
devlet işi ciddiyet ister çocuk oyuncağı değil işler danışmanar para içişleri bakanı süleyman soylu is httpstcojltzcqjnl,15
şaka yaptım şaka şaka sokağacikmayasaği,15
gün içinde aniden sokağa çıkma yasağı ilan edip milletin sağa sola kaçışmasını izleyerek bunu eğlenceli hal httpstcolwxdjxpwhl,15
bilim kuruluna saygi yok istifa edin sokağacikmayasaği,15
gece sokağa çıkma yasağı geldi sabah yasak iptal edildi ağam eğleniyy bizimle sokağacikmayasaği httpstcojmjpdvpl,15
ağam eğlenir vatandaşla sokağacikmayasaği,15
eee var dendiiiğğğğ sokağacikmayasaği,15
gokhanozoguz elma dersem çık armut dersem çıkma elmaaaaa çık sokağacikmayasaği iptal kararı aldım,15
arkadaşlar haftasonu evinizden fazla uzaklaşmayın sakın bilim dışarıdayken birden karar değiştirip yeniden httpstcowcngjakxu,15
elma dersem çııık armut dersem çıkmaaa sokağacikmayasaği httpstcoqrxgqxuog,15
elma dersem çık armut dersem çıkma sjsjshsh sokağacikmayasaği,15
arkadaşdevletin önemli kurumlarından olan iç işleri aldığı yanlış sokağacikmayasaği ülkenin cumhurbaşkanı tara httpstcozbxuyl,15
şimdi ben dışarı çıktım çıktım çıktım bunu izaha gerek yok gördünüz yürüdüm çıktım çıkmam httpstcoogcrlhlh,15
sokağacikmayasaği şahsım şahsın yedi ceddini,15
önce sokağa çıkma yasağı virüsü afallattık sonra şaak yasağı iptal ederek şok yaşattık gün kendine gel httpstcomdgjpqwz,15
sokağacikmayasaği yasaklar iptal edildi httpstcoxugtotjz,15
 __sanane____ ben bosuna demiyorum coronayı deliiriz abi maraş dondurması kendimizi kapıdan gösterip gösterip kaçıcaz ark,15
karşı bakkaldan iki ekmek yarım kilo zeytin almamda müsadeniz var mıdır asrın liderimizsokağacikmayasaği,15
son dakika aldigim bilgilere göre covid un sadece hafta sonu değil çalıştığını öğrenmiş bulunuyorum maales httpstcoqtqfsglfl,15
son durum nedir sokağacikmayasaği,15
son kararınız dimi sokağacikmayasaği httpstcocndcbygq,15
süleyman sen napıyon an şimdi bileyim kuru fasulyenin bir türlü pişmediğini mi düşünüyonsokağacikmayasaği,15
 bulentuslu sokağacikmayasaği iptal edildi hayırlı olsun,15
ülkemizde sokağacikmayasaği var ülkemizde yasak yokmilletin başi döndü,15
vaka sayıları in altında yasak ilan etmemek nedir sokağacikmayasaği,15
vatandaşı dinleyesileri tuttu sokağacikmayasaği,15
 barankk aylarca durdurulan sistemde insanlar hafta sonunu kapsayan şehir dışı planları yaptı birçok kişi şehir dışında otobüs uçak,15
virüs gece geldi sabah gitti anlaşılan hayirlicumalar sokağacikmayasaği coronavirus,15
 ayla_ lütfen maskelerinizi düzgün takın sokağacikmayasaği httpstcobkxghourp,15
yapılan var incelemesinde hakem devam kararı verdi sokağa çıkma yasağı iptal sokağaçikmayasaği,15
yeniakit ehliyetaffı istiyoruz salgin varrr sokağacikmayasaği dünyaçevregünü elephantdeath httpstcozbjafytjo,15
yesnt haftasonu platformlarda sokağacikmayasaği httpstcoeihwqgs,15
zekibahce sokağacikmayasaği verilmiştir real büyüksün ülkeyi tehlikeden koruyor sokağacikmayasağiiptal edilmi httpstcozscsjqqmk,15
çohhheğlenyoooğğz sokağacikmayasaği,15
 ehlikeyf__ perşembe sağlık bakanı hafta sonu sokağa çıkma yasağı yok cuma sabahiç işler bakanı hafta sonu sokağa çıkma yasa,15
 elifkrmk kafelerin avmlerin kadar dolması bi haftadır normalleşme denizin sokakların maske eldiven kirletilmesi,15
sokağacikmayasaği sebze meyve dışında pazar yerleri açılmalı aık,15
 hayriituncc gece tam önce tek ayağımı bir olmazsa iki ayağımı onlara bir olmazsa tamamen kendimi sokağa çıkaac,15
real modeme re attı sokağacikmayasaği,15
 omerrbaserr elma dersem çık armut dersem çıkma sokağacikmayasaği,15
 o_r_h_a_n_n emeklilikteyașatakılanlar sokağacikmayasaği bizmi geri zekaliyiz dalgamı geçiyorlar lan arkadaş çocuk oyuncağımı,15
sayın bakan yine istifa edecek mi sokağacikmayasaği,15
sağlık bakanı açıklamasında sokağa çıkma yasağı düşünmüyoruz gerekli görülürse yapabiliriz dedi bitti bir httpstcovkbpyovtmf,15
 muthiskapak yasakları yasaklayan cumhurbaşkanı erdoğana bir diktatör diyenin ağzına kürekle vururum sokağacikmayasaği teşekk,15
 mumine_fv sokağacikmayasaği yasak yok şaka şaka yasak var kandirdik yasak yok durum httpstcotrkzimfy,15
 mepostif bir bilim kurulu üyesi hekim olarak kararların sorumluluğu altına giremem yarın ilk iş olarak kuruldan istifa edeceği,15
 kumtemir_ahmet fahrettin koca sokağa çıkma yasağı yok içişleri bakanlığı hayır var erdoğan iptal ettim aık yok sokağacikm,15
 kirmizi_capul yinede dikkatli olun millet geceye var yasağın iptalini iptal edebilirler sokağacikmayasaği,15
caracal vaşağa benzese tamamen farklı bir türdür anadoluda görülen hayvanın isminin kökeninin türkçe httpstcosxrnazv,15
sokağacikmayasaği akşama doğru tekrar gelirse getirecek olan herkese ben tekrar tekrar şimdiden teşekkür ederi httpstcoerdagh,15
 izmirdeyince karar verdim hafta sonu yasağı kaldırdım takılın kafaniza göre millet sokağacikmayasaği,15
sokağacikmayasaği covid şuanda şok yaşıyor,15
 issizakademik bir mantığı var bilemediğimiz bir yasak insanlar hafta içi kafelere avmlere gidiyor ailemizi görmeye gidem,15
 ikotosu iptal olmuş son kararınızmı sokağacikmayasaği,15
şaka son durum yeni genelge yayınlandımı sokağacikmayasaği,15
 _tek_millet gencim yakışıklıyım hızlıyım çekiciyim yenilmezim diyen yüzyılın sporcusu unvanına sahip ol,15
birde yönden düşünün sokağacikmayasaği httpstcoyxodiqblls,14
büyükşehir zonguldakta sokağacikmayasaği iptal edilmiş ağam eğleniiir bizimle,14
 telecomtr erdoğanın kararına tepkiler çığ troller alkışlayacak korkuyorlar yeniden değişirse sokağacikmayasaği,14
 abdulkadir coronavirusün bilinmeyen özellikleri haftasonu bulaşıyor haftaiçi bulaşmıyor camilerde bulaşıyor avm pttlerd,14
barisyarkadas yine istifa eder twitter dan twet le istifa etmek sonra vazgeçmek trend bir gece kaftancıo httpstcoxkatpksn,14
ağam eğlenir bizimle sokağacikmayasaği,14
almanya ispanya fransa şahsım sokağacikmayasaği,14
 huseyindogan_tr erzak aldık aq sokağacikmayasaği httpstcoaaxfbcsze,14
 sakrettinamca reyis sokağa çikma yasağini geri iptal etti yine pirogram yapmayin avrupa insan haklari mahkemesi geri ka,14
canim sikildi sokağacikmayasaği ni iptal ettim,14
bir bilmecem var çocuklar haydi sor sor sokağacikmayasaği,14
çıkmadan önce son duruma bakıp ona göre çıkın bunların ego savaşlarında kimi şaapar belli olmaz an httpstcollsqqdde,14
yayılma grafiği gezmeye gidilen yerlerde bir yok gezmeye gitmeyi fotoğraf paylaşmayı iş sanan yerlerde risk httpstcoqwlfood,14
sokağacikmayasaği var yola çıkanlar iptal edildiğinden habersizce yollarda trafiğin bir ucu neredeyse sulta httpstcovnsrdfe,14
işi gücü olanlar güzel bir karar burada başkasının verdiği karara saygısızlık yada yok saymak bir olay sö httpstcobjfukqv,14
milletin isyanını seçim zamanı görürüz umarım görürüz bir şeyler değişir mi aık ülkemizde ağ httpstcojujqdeqow,14
muslimgunduz chp kuruluşu hedefi kadroları itibariyla bir pai değil yeni bir dindir kemalizm dinidir islam httpstcoxieemotthh,14
sokağacikmayasaği sokağa çıkma yasağı aık kalktı dendi helal olsun dediler saat sonra geri geldi yine httpstcoswhcbhidl,14
ozlemgurses ehliyetaffı istiyoruz salgin varrr sokağacikmayasaği dünyaçevregünü elephantdeath httpstcogtxxdihwsu,14
troller tekrar ters köşe olmamak içinderin bir sessizlik içindesokağacikmayasaği,14
restini gördüm yasağı kaldırdım süleyman bende a var sokağacikmayasaği httpstcogstozrcs,14
iptal oldu covid sevindi sokağacikmayasaği,14
