text,retweet_count
 kacsatolduturk sağlık bakanı sokağa çıkma yasağının kaldırıldığını duyuralı gün içişleri bakanlığı ilde hafta sonu sokağa çıkm,12
devlet cemaat tarikat aklı kültürü yönetilince anca kadar oluyor idare edin aık sizde sokağacikmayasaği,12
 harun_tekin bir başkasının yaşantısıdır dönüp arkamıza baksak yaşadıklarımız başkasının yargısına tutsak su yasak rüzgar yasak,12
büyükşehirlerde toplutaşım araçlarının sayıları azaltılarakvirüsün bulaşmasına adeta davetiye çıkaılıyor tedbi httpstcogfpvbvwxs,12
sokağacikmayasaği hakkında bir diyemiyorum silivri yazın yanıyordur,12
cumhurbaşkanımız sokağa çıkma yasağında halkının yanında olmayı tercih etti yasağı kaldırdı milletin adami rei httpstcowvaitirh,12
sokağacikmayasaği iptal öyle bir feyk attık covida neye uğradığını şaşırdı çoktan ümidi kesip baş httpstcodpswxcp,12
sokağacikmayasaği iptal edildi coronalarınıza sahip çıkın kimseye bulaştırmayın,12
 hk recep in çarşamba günü ilan ettiği haftasonu sokağa çıkma yasağı olmayacak bilgisini perşembe günü haftasonu sokağa çıkmak y,12
 safderun padişahım yaşa sokağacikmayasaği,12
recepin çıkatığı yasağa tayyip itiraz etti bakalım erdoğan diyecek sokağacikmayasaği,12
kadar fesat gerizekalı insan varsa yarın saat içinde gine holadı lan varya nekadar vatan hainisiniz sizin httpstcoxarwgsnvh,12
harbi diyorum yeminle fena taşşak geçiyorlar gönül gözü sokağacikmayasaği,12
kızdı haliniz varsa görün dedi sokağacikmayasaği,12
iptal etme kararı aldım aldım aldım aldım söyleyeceklerim kadar dağılın sokağacikmayasaği,12
sokağacikmayasaği iptal hafta içi kahvehaneler avm ler açıkken tehlikeli gün yasakiken gün serbest httpstcodlsmuymk,12
sokağacikmayasaği sonra gözlerini kaçırarak kimsenin duyamayacağı bir s tonuyla nereden düştüm manyakl httpstcohtejyueq,12
 skyhan şaka ülke dün gece hafta sonu ilde ilan edilen sokağa çıkma yasağı cumhurbaşkanı erdoğanın talimatıyla kaldırı,12
sokağacikmayasağinı yasaklayan tek ülke olarak tarihe geçtik dünya bizi kıskanıya,12
sokağacikmayasaği vizyonsuz misyonsuz plansız programasız adamların keyfi düüsel hareketleri,12
bak hele bak cambazlara bak küçücük akıllarıyla fitne ateşi yakmaya çalışıyorlar la süleyman soylu yer mi numar httpstcofrfdihkg,12
virüsün beyni yandı sokağacikmayasaği,12
sokağacikmayasaği çift cevap joker hakkınızı kullanmak istiyorsunuz httpstcoeahmeu,12
 dilekoksuzok sokağacikmayasaği gerekli değil miydi gerekli değilse kondu coronavirus mi bitti insanların sağlığına verilen,12
içerdemiyiz sokağacikmayasaği,12
 sessiz_iz evde kalan erkeklerin isyanına kadınların tepkisi sokağacikmayasaği httpstcounmopzzul,12
mizahsız bir gün geçmiyor güzel ülkemde sokağacikmayasaği,12
insan ibrettir alıcısı yok sokağacikmayasaği,11
sokağacikmayasaği şimdi napıyoruz sokağa çıkıyormuyuz çıkmıyormuyuzz değerli büyüklerimiz neye karar verdi hızırmı yunusmu,11
çocuğun eline ülke vermişler oynuyo oyna devam sokağacikmayasaği,11
sokağacikmayasaği konu yasağın olmasi olmamasi değil devlet bir karar verir herkes buna uyar burada öne httpstcopwygpluy,11
 hande_gulbahar hafta sonu sokağa çıkma yasağı doğruydu yasağın kaldırılması doğru tekrar yasaklanırsa doğru olur soka,11
başımıza virüs geçti amk sokağacikmayasaği,11
sokağa çıkmak serbestnasıl bir ülke olduk anlamak mümkün değil sokağacikmayasaği,11
drfahrettinkoca sokağa çıkma yasağı yok aynı akşam suleymansoylu sokağa çıkma yasağı var diyor bugü httpstcodovelaw,11
akşam yasaklarim sabah kaldırırım kime sokağacikmayasaği httpstcoofdodiw,11
bursada polis memuru şehit olmuştu flaş gelişme httpstcohxupinyt sokağaçikmayasaği cuma httpstcosvqswevq,11
vallaha agam eglenir bizimle sokağacikmayasaği httpstcoztohbfug,11
 prfmuratkaraman sokağacikmayasaği iptal edildi tarz toplumsal kararlar sağlam bir devlet ciddiyeti iyi bir süreç yöneti,11
hiçbir olmasa bir seyler oldu sokağacikmayasaği,11
sokağacikmayasaği halısaha maçı dewamkeee,11
sokağacikmayasaği ilan etmiyoruz hayır ediyoruz hayır etmiyorum,11
olması bile komikti zaten kararların alındığını görmüş olduk karantinaya devam sokağacikmayasaği,11
olanları ağızımız açık izlemekten yoruldukdengesiz davranışlarda ikizleri geçtiniz sokağacikmayasaği,11
virüs iptal arkadaşlar sokağacikmayasaği,11
bir yönetim politikası olarak minareden at beni in aşağı tut beni sokağacikmayasaği,10
 karaeryasemin işte demokrasi işte sosyal medyanın gücü sokağacikmayasaği iptal edildi,10
ağam bizimle eğlenir sokağacikmayasaği,10
kararlar alınıyor kararlar aldım diyerek iptal ediliyor noluyor padişahlığın ilk beliileri falan i httpstcolxtxrjjdv,10
ulan beeee kafalar yaşanıyor ülkede dakika yaşasam teemiz yeniden doğarimsokağacikmayasaği,10
 dz_erk il dün alınan haftasonu sokağacikmayasaği bugün cb erdoğan tarafından iptal edildi an itibari sokağa çıkma,10
 arzusaylam devlet yönetimi ancak kadar iyi yapılıriki gün önce sokağa çıkmak bilim kurulu tavsiyesinde yokdün gece yarısı içişler,10
sokağa çıkma yasağını duyup planlarımı eelemişim yasak iptal olmuştur sokağacikmayasaği httpstcoweakqmsq,10
 rahatsizzadam arkadaşlar bilmediğiniz şeyler var şimdi tam gece yarısına dakika kala reyis şakkadanak yeniden sokağa çıkma yasağı,9
 zeynep_korkmz real vara giderek sokağacikmayasaği nı iptal ettirdi,9
 serifecengiz birazdan il çıkıyor gerisine yasak derse şaşmayın haa herşeye hazırlıklı olmak gerek sokağacikmayasaği,9
halk hak ettiği şekilde yönetilir kadar kötüsünü kibirlisini hak etmiyoruz etmemeliyiz httpstcozdfoqaqkh,9
gündem güzel değiştiriliyor oh be sokağacikmayasaği,9
sokağacikmayasaği sağlık bakanı sokağa çıkma yasağı düşünmüyoruz içişleri bakanı haftasonu ilde sokağa ç httpstcoxiofcgngpr,9
pelikan hilal_kaplan hacivat sakallı bohça kafalı trolleri sarılmış klavyelere yine teşekkürlererdoğan httpstcobugrerfmg,9
sokağacikmayasaği haftasonu manite izin veriyorum httpstcovildgnqia,9
başkanlık sistemi güzel sen gel recep tayyip erdoğan sokağa çıkma yasağını iptal etme kararı aldım sokağacikmayasaği,9
gün icinde aniden sokağa çıkma yasağı ilan edip millet sağa sola kaçışırken izlemekte güzel olur sokağacikmayasaği,9
yine kalktı sokağacikmayasaği,9
anlam verilemeyen şeyler oluyor virüs şaşkın şaşkın sokağacikmayasaği,9
saray bakanın sokağacikmayasaği getirmesini bekledi bakan saraydan farklı bir talimat gelmediği haftasonu httpstcodnthmlpx,9
serbest sokağa çıkmak pikniğe gitmek zorunda değilsiniz sokağacikmayasaği,9
benim can lım reisim milletin talebine sesine kulak verdi sokağa çıkma yasağı iptal edildi kıymetli milletimizd httpstcoytbbanwcr,9
neyse padişah sultan tayyip iptal etti padişahımız bizi düşünüyor istiyirsiz nomissizler sokağacikmayasaği,9
sokağacikmayasağinın iptalinin iptali iptal edildi,9
terazi burcu olarak devletimizin yanındayız aynı bize benziyorlar sokağacikmayasaği,8
reyizzz be şimdi yine sokağa çıkmayı şakkadanak tekrar yasakla corona virüs şoktan şoka girsin defolsun ülkeden sokağacikmayasaği,8
 berildeniz sağlık bakanı dışarı çıkma yasağı olmayacak içişleri bakanı hafta sonu dışarı çıkma yasağı olacak erdoğan yasakları,8
bir başka ülke vatandaşına gel anlat canım memleketimde yaşandığını mümkün değil anlatamazsın kelimeler httpstcozrvsapah,8
halk hak ettiği şekilde yönetilir kadar kötüsünü kibirlisini hak etmiyoruz etmemeliyiz sokağacikmayasaği yönetemiyorsunuz,8
iş buldum vazgeçtim iş bulmadım kafayı yedim herhalde sokağacikmayasaği,8
ülkenin geldiği son nokta işde yasak sabah yola koyulduk yarı yolda yasak iptal dediler aç kapa aema olduk sokağacikmayasaği,8
 sluleci cumhurbaşkanı erdoğan tarafından büyükşehir zonguldakta yasak iptal edildi sokağacikmayasaği httpstcoagkzocc,8
saat yine yasak getir akşam şaak iptal et virüs bi şaşırsın oluyor desin sokağacikmayasaği,8
 muhammedvarma hafta sonu plan yapanlara gelsinsokağacikmayasaği httpstcoeadyqtxic,8
 kralcohh abi sokağacikmayasaği iptal olmuş vakalarda aış var la boşver oğlum devletten iyimi bilisen httpstcozfuvgukm,8
sokağa çıkmayı yasaklıyorum bende kaldırıyorum hayır yasak çıkamazsınız hayır yasak masak yok httpstcoxcdwmeynuw,8
saat a kadar çıkmıcazmışız davranın baktınız açıklama yok atın kendinizi yollara sokağacikmayasaği,7
cumhurbaşkanı erdoğan süleyman soyluyu harcayacagim türk milletinin sağlığı oynuyor bir iside düzgün yap httpstcozncugtzdj,7
 volkaneliacik elma dersem çık armut dersem çıkma elmaaaaa çık sokağacikmayasaği iptal kararı aldım,7
gece sokağaçıkmakısıtlaması sabah sokağaçıkmakısıtlamasınınkısıtlanması öğleden sonra httpstcohwxsyxb,7
 akbasmarkt sokağacikmayasaği iptal edildi yinede dikkat edin mecbur kalmayınca çıkmayın maskesiz çıkmayın sosyal mesafeyi,7
 oztmikdat sokağa çıkma yasağı iptal edilmiş sokağacikmayasaği httpstconhfiujhw,6
sokağacikmayasaği kenan doğulu yüreğim bana karşı çıktı karışmam iş beni aştı olan oldu ateşini yaktı yine aklım karıştı,6
var inceledi karar iptal sokağacikmayasaği,6
taş üstüne taş baş üstüne baş komam böyle biline sokağacikmayasaği,6
normalleşme sürecinde evde sıkıldığınız avm kafe kalabalığın temasın fazla olduğu bir yere gidiyo httpstcoerhxoeq,6
erdogan sabahtan akşama kararın değişmesi kadar yanlış kararlar aldığınızın kanıtıdır size tek başına karar httpstcogdavdsp,6
sayın drfahrettinkoca önce haftasonu sokağacikmayasaği olmayacağını sonra içişleri bakanlığı şehirde sokağ httpstcohffygs,6
virüsü böyle kandırarak yok edicez salaklayıp pe edicek sokağacikmayasaği,5
derece güneş in altında taş zeminde namaz kılıyor millet belediye işe bir çözüm bulmalıdır cumanamazı httpstcopczcfmee,5
başkancumhurbaşkanı güzellemelerini okuyunca kusmak istiyorumo bizim doğru kararı vermek zorunda olan httpstconatbztc,5
 __panzehir_____ yasak yok yasak var yasak yok başkalarını yönetmek isteyen insan şeyden önce kendisinin ustası olmalıdır dem,5
kaanmete şahsım kendini güçlü göstermek planladı oyunu önce kendi yaptıkları termik santral yas httpstcohlzsnvztf,5
gönlüm razı olmadı gönüle göre ülke yönetmek sokağacikmayasaği,5
 ziya__ dün içişleri bakanlığı bugün cumhurbaşkanlığı sokağacikmayasaği iptal httpstconnotulzn,5
 huriyek sokağacikmayasaği olmasada dikkatli olun lutfeeeen lutfeeen herşeyin normale dönmesi erken henüz h,5
oyuncak ettiniz bi karar verinn sokağacikmayasaği,5
 gamzeilgezdi temsilde adalet devlette liyakat oadan kalkınca keyfiyet yönetim biçimi oldu bugün türkiye yönetilmiyor savruluyor,5
zaman geleceği belli olmayan çılgın sonkararınmı sokagacikmayasagi,5
sokağa çıkılsın çıkılmasın çıkılsın çıkılmasın sokağacikmayasaği httpstcomshlrywsed,5
ağam eğleniyi bizle sokağacikmayasaği,4
 dedektifpipo vefalı virüs dediğin böyle olur haftaiçi izin haftasonu çalışıyor saat a kadar izinli avmler bulaşma alanı değ,4
banka mevduatları milyar azaldı altın rekora gidecek yoksul mahallelere ekmek dağıtımını akp engelliy httpstcocvchjqswy,4
oktaydogan sokağacikmayasaği hakkaten şaka,4
teşekkürlererdoğan büyük lidersin türlü kararında yanındayız sokağa çıkabilsek sokağacikmayasaği olsa httpstcolqszxcjw,4
türkiye aık bakanlıkların milletvekillerinin bir yetkisi yok saraydan gelen kararlar twitter tepki httpstcoanvfneax,4
 gkhnkhrman son dakika hafta sonu sokağa çıkma yasağı cumhurbaşkanımız tarafından iptal edildi cumaesi pazar sokağa çıkma yas,4
sokağacikmayasaği dün yasak uygulanmayacak dedim sabah sokağa çıkmama kararı verdim öğlen sokağa çıkmama httpstcorelzhddi,4
yine kandırıldık sokağacikmayasaği,4
 naltintas sokağacikmayasaği açıklandı kişiler itiraz ettiler eve kapanmak istemiyoruz dediler cumhurbaşkanı erdogan a te,3
vaka sayıları yükselince umarım hepinizin gönlü razı olur ozamanda halkı suçlamayın virüs bitmiş sayılmaz am httpstcoeakefez,3
sokağacikmayasaği sokaga amcik yasagi okudum,3
 harun_tekin başlar ay doğarken saltanatı sultanı yegahın attila ilhan sokağacikmayasaği,3
 muslimgunduz chp kuruluşu hedefi kadroları itibariyla bir pai değil yeni bir dindir kemalizm dinidir islam dinini oadan kaldı,3
haftaiçi doldurulan kafelerin haftasonu boş bırakılması kimseyi kuarmazdı zaten arkadaşlar aydır evden çalışıy httpstcoraqybtml,3
ayosofya ilk namaz kilindiği gün kemalizimin bitişinin başladiği gün olacak teşekkürlererdoğan httpstcoitklofgssl,3
şahsım milletim adına iptal ettim sokağacikmayasaği,3
öpülmüş yanağın davası olmaz günenotum sokağacikmayasaği sokağacikmayasağiiptal,2
 alpaslankunt içişleri bakanlığının kararnamesi sokağacikmayasaği geldi cumhurbaşkanı erdoğan ın twitiyle kalktı yine em,2
 __erayakar akşam sokağa çıkma kararı verdim öğlen sokağa çıkma yasağını iptal kararı verdim yinede program yapmayın,2
yasak oldu yosok olmosoooon yasak kalktı korono yoyolocoook sokağacikmayasaği,2
sokağacikmayasaği dakika doksan dan sonra gelen gol,2
dün milletin iradesi yok sayıp mıllet vekillerini düşürenler smdı cb halkı dinlemiş yasagı kaldırmış dıyor allah httpstcopyaqzhmiig,2
ağam bizimle eğleni sokağacikmayasaği httpstcofkslqjbhz,2
cumhurbaşkanı erdoğan agah beyoğlu sokağacikmayasaği lgbt elephantdeath askereeziyet avutsunbahaneler ağam httpstcooclmpjkvb,2
 c_fkcff bir birinden haberi olmayan hükümet ülkeyi saldılar çayıra mevlam kayıra akp ülkeyi yönetiyor protestoediyorum sokağacik,2
 frdvsy taktik bunlar koronayı şapşiğe çevirdik yakında usanıp terkeder bizi sokağacikmayasaği varyok,1
sokağacikmayasaği iptal olmus insallah son dakika yine bi degisiklik olmaz,1
sokağacikmayasaği rahat hazrooool diikkkkkayt sokağa çıkılmaya başüstüne devletlüm sokağa çıkıla httpstcopbomui,1
size sokağa çıkacaksınız diyorum şaka lan şaka çıkmayacaksınız hadi len acıdım çıkın sokağacikmayasaği,1
yasak dediler isyan çıktı tamam yasak olmasın dediler yine isyan çıktı ben çıkmıyorum zaten uzaktan seyrediyorum sokağacikmayasaği,1
sağlık bakanı açıklamasında sokağa çıkma yasağı düşünmüyoruz gerekli görülürse yapabiliriz dedi bitti bir httpstcozrwsmixwr,1
saadet paisi olarak hakkı üstün tutmamızın sebebi allah ahiret inancıdır ahirete göre siyaset yapmayanlar im httpstcovdumxbqx,1
 drmadiguzel sağlık çalışanlarını konuda olduğu konularda unuttular mecliste düzenlediğim basın toplantısında sağlık ç,1
galiba birilerinin hafta sonu işleri varmış ondan mi iptal oldu şimdi d sokağacikmayasaği,1
furkanduygu vekilince sokağacikmayasaği duygu evet ben tiviti sabah atmış olsaydım sen yanıtı httpstcojhnybuklm,1
bazen diyorum olacak söv gitsin sonra diyorum sövünce oalık karışacak sus bitsin sokağacikmayasaği,1
cumhurbaşkanı erdoğan saat geçmeden sokağacikmayasaği nı iptal etti etmesine deee peki hafta sonu pazar gü httpstcosdojhhhy,1
